2026-09-25 09:17:28.447 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:28.495 PDT [2049302] LOG:  checkpoint complete: wrote 15 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.025 s, total=0.049 s; sync files=15, longest=0.010 s, average=0.002 s; distance=14486 kB, estimate=468592 kB; lsn=0/B4DC9E48, redo lsn=0/B4DC9DF0
2026-09-25 09:17:39.968 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:40.492 PDT [2049302] LOG:  checkpoint complete: wrote 2068 buffers (3.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 53 recycled; write=0.029 s, sync=0.273 s, total=0.525 s; sync files=27, longest=0.251 s, average=0.011 s; distance=863397 kB, estimate=863397 kB; lsn=0/E98F3398, redo lsn=0/E98F3340
2026-09-25 09:17:43.743 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:43.794 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.028 s, total=0.052 s; sync files=15, longest=0.012 s, average=0.002 s; distance=10011 kB, estimate=778058 kB; lsn=0/EA2BA278, redo lsn=0/EA2BA220
2026-09-25 09:17:49.501 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:49.541 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.021 s, total=0.041 s; sync files=15, longest=0.009 s, average=0.002 s; distance=10418 kB, estimate=701294 kB; lsn=0/EACE6BF0, redo lsn=0/EACE6B98
2026-09-25 09:17:53.577 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:53.626 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 1 recycled; write=0.004 s, sync=0.026 s, total=0.050 s; sync files=15, longest=0.013 s, average=0.002 s; distance=14453 kB, estimate=632610 kB; lsn=0/EBB04190, redo lsn=0/EBB04138
2026-09-25 09:17:57.214 PDT [2049302] LOG:  checkpoint starting: immediate force wait
2026-09-25 09:17:57.275 PDT [2049302] LOG:  checkpoint complete: wrote 14 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 2 recycled; write=0.004 s, sync=0.034 s, total=0.061 s; sync files=15, longest=0.020 s, average=0.003 s; distance=31314 kB, estimate=572480 kB; lsn=0/ED998B30, redo lsn=0/ED998AD8
